"101 Meeting Room" 4652
102b 4629
"103 Office" 4628
"104a Library" 4627
104b 4626
105 4625
"109b Cafeteria" 4638
114 4622
115 4623
116 4624
137 4621
138 4620
139 4619
140 4618
141 4617
142 4616
143 4615
144 4614
151 4604
152 4605
153 4606
154a 4607
154b 4608
155 4609
156 4610
157 4611
158 
159 
"201 LUENTOSALI" 4201
"202 LUENTOSALI" 4202
203a 4203
203b 4204
204a 4205
204c 4206
" 204d" 4206
209 4210
210 4211
211a 4213
"213 LUENTOSALI (front)" 4216
"213 LUENTOSALI (rear)" 4214
"214 AULA" 4218
"215 LUENTOSALI" 4215
"216 LUENTOSALI" 4219
222 4226
223 4227
223 4235
224 4228
225 4229
226 4230
227 4231
228 4232
" 229" 4232
" 232c" 4232
" 234" 4235
235 4236
236 4233
" 237" 4233
"237c NEUVOT" 4223
238a 4207
238b 4239
239 4238
301c 4302
301d 4301
"302b NEUVOT" 4303
302c 4304
303b 4305
304b 4306
" 304c" 4306
" 304d" 4306
309 4309
310 4310
311 4311
312 4319
313 4320
314 4321
315 4322
316 4323
" 317" 4323
318 4324
"323 LUENTOSALI" 4312
"324 LUENTOSALI" 4313
"326 LUENTOSALI" 4315
"331 NEUVOT" 4328
332 4329
333 4330
" 334" 4330
335 4331
336 4332
337 4335
338 4337
"344 CAE-LUOKKA" 4646
"345 CAD-LUOKKA" 4649
401 4412
" 402a" 4412
403 4411
404 4409
405 4408
406 4406
" 407" 4418
408 
412a 4418
" 412b" 4418
413 4405
414a 4403
414b 4401
414c 4402
415a 4413
"" 4237
"" 4338
"" 4648
"" 4650
Corridor 4208
Corridor 4209
Corridor 4212
Corridor 4217
Corridor 4220
Corridor 4224
Corridor 4234
Corridor 4307
Corridor 4308
Corridor 4314
Corridor 4316
Corridor 4317
Corridor 4318
Corridor 4325
Corridor 4326
Corridor 4327
Corridor 4404
Corridor 4414
Corridor 4415
Corridor 4633
Corridor 4634
Corridor 4635
Corridor 4636
Corridor 4637
Corridor 4643
Corridor 4644
"Guard Room" 4632
"Guild Room" 4631
"Lecture Hall" 4601
"Lecture Hall" 4603
"Meeting Room" 4602
" Pantry" 4631
Pantry 4639
Restaurant 4640
Stairs 4641

158
159
408
4201 "201 LUENTOSALI"
4202 "202 LUENTOSALI"
4203 203a
4204 203b
4205 204a
4206 204c
4206 " 204d"
4207 238a
4208 Corridor
4209 Corridor
4210 209
4211 210
4212 Corridor
4213 211a
4214 "213 LUENTOSALI (rear)"
4215 "215 LUENTOSALI"
4216 "213 LUENTOSALI (front)"
4217 Corridor
4218 "214 AULA"
4219 "216 LUENTOSALI"
4220 Corridor
4223 "237c NEUVOT"
4224 Corridor
4226 222
4227 223
4228 224
4229 225
4230 226
4231 227
4232 228
4232 " 229"
4232 " 232c"
4233 236
4233 " 237"
4234 Corridor
4235 223
4235 " 234"
4236 235
4237 ""
4238 239
4239 238b
4301 301d
4302 301c
4303 "302b NEUVOT"
4304 302c
4305 303b
4306 304b
4306 " 304c"
4306 " 304d"
4307 Corridor
4308 Corridor
4309 309
4310 310
4311 311
4312 "323 LUENTOSALI"
4313 "324 LUENTOSALI"
4314 Corridor
4315 "326 LUENTOSALI"
4316 Corridor
4317 Corridor
4318 Corridor
4319 312
4320 313
4321 314
4322 315
4323 316
4323 " 317"
4324 318
4325 Corridor
4326 Corridor
4327 Corridor
4328 "331 NEUVOT"
4329 332
4330 333
4330 " 334"
4331 335
4332 336
4335 337
4337 338
4338 ""
4401 414b
4402 414c
4403 414a
4404 Corridor
4405 413
4406 406
4408 405
4409 404
4411 403
4412 401
4412 " 402a"
4413 415a
4414 Corridor
4415 Corridor
4418 " 407"
4418 412a
4418 " 412b"
4601 "Lecture Hall"
4602 "Meeting Room"
4603 "Lecture Hall"
4604 151
4605 152
4606 153
4607 154a
4608 154b
4609 155
4610 156
4611 157
4614 144
4615 143
4616 142
4617 141
4618 140
4619 139
4620 138
4621 137
4622 114
4623 115
4624 116
4625 105
4626 104b
4627 "104a Library"
4628 "103 Office"
4629 102b
4631 "Guild Room"
4631 " Pantry"
4632 "Guard Room"
4633 Corridor
4634 Corridor
4635 Corridor
4636 Corridor
4637 Corridor
4638 "109b Cafeteria"
4639 Pantry
4640 Restaurant
4641 Stairs
4643 Corridor
4644 Corridor
4646 "344 CAE-LUOKKA"
4648 ""
4649 "345 CAD-LUOKKA"
4650 ""
4652 "101 Meeting Room"

